2,168,710983,162,433706,
6,186177,4,183777,14,
8,191658,3,188530,15,
10,187179,3,184276,15,
12,193621,2,187823,15,
28,52,2,50,1,
30,702,61,,0,
36,175,60,101,1,
39,1,5970,,0,
40,6,10060,6,16695,
41,38,21706,26,1995,
42,32,3000,32,10030,
43,80,39351,79,1969,
44,,0,232,2770,
45,26,16,26,69,
47,,0,90,2800,
48,7,337,7,440,
50,2,105,2,134,
52,1,70805,1,21200,
53,6,167936,6,14263,
54,4,306,3,243,
56,24,1,20,288,
58,46,1478,42,3026,
60,17,462,15,986,
62,85,23217,83,10032,
64,83,2564,82,2792,
66,303,79906,300,18364,
68,194,2,176,733,
70,1023,41146,1025,41519,
72,772,10001,751,548,
91,90,665,81,104,
93,79,50,55,1733,
95,217,1452,216,330,
97,885,4370,868,214,
99,7720,29408,7601,10797,
101,878,300,873,6253,
103,1854,3918,1858,8351,
105,1940,24170,1840,6491,
107,1889,39219,1800,2635,
109,1425,21308,1424,232,
111,,0,8051,48,
113,331,237,321,340,
115,177,11,153,392,
117,124,5,124,12,
119,,0,66,7,
121,,0,8,633,
123,4,5,,0,
127,76,2,40,258,
129,,0,49,2,
133,725,3,345,3,
135,,0,36,1,
137,,0,111,2,
139,7304,1525,7282,9948,
141,5895,200,4866,232,
143,2431,3,2393,89,
145,160,3,153,2497,
147,75,2,65,14,
149,,0,47,6,
151,89,1,,0,
157,1533,2031,1498,21875,
159,,0,950,19,
161,,0,468,13,
163,573,2248,550,16733,
165,,0,390,12,
167,181,9,,0,
169,340,202,319,304,
171,348,1,336,179,
173,396,1,167,145,
175,390,3,231,31,
177,206,40,101,3,
179,200,2,67,4,
181,162,103,134,320,
183,57,1,48,2,
185,351,7,143,8,
187,416,31,399,1534,
189,,0,1520,18,
193,,0,757,3,
199,21,14290,21,8292,
201,19,2376,19,1883,
203,120,641,245,8318,
205,753,394,739,5166,
207,7382,1724,7384,23083,
209,742,5319,732,10480,
211,1673,5379,1656,14986,
213,1667,538,1612,8151,
215,1692,712,1764,7510,
217,1226,7,1194,22607,
219,8317,1329,8260,8395,
221,4,24955,3,17606,
223,397,29055,396,8153,
225,720,20859,701,19566,
227,4,212430,4,1,
229,2,112003,2,21307,
231,272,35280,259,52569,
233,272,154,295,25,
235,221,463,199,6,
237,182,427,180,1272,
239,165,76039,157,2082,
241,154,19842,137,4945,
243,900,2,842,19,
245,800,16852,791,18956,
247,376,1829,257,506,
249,32,1410,43,20107,
251,38,16419,35,811,
253,159,1468,156,4405,
255,761,1119,746,1005,
257,7451,5657,7445,10952,
259,781,2983,763,21720,
261,1713,2424,1695,6733,
263,1750,472,1708,2483,
265,1699,4072,1662,418,
267,1202,896,1181,41241,
269,8346,10735,8317,7737,
272,447,4,447,1,
273,1374,4,1018,11,
288,458,82,519,1,
299,781,3685,502,3438,
301,49,12,,0,
303,48,232,34,9,
305,378,9,330,5,
307,30,32,8,5,
309,47,23,44,4,
311,46,5,31,1,
313,5,45501,4,5379,
314,2,1800288,2,696709,
315,31,147,21,232,
317,500,4863,104,1561,
319,145,122,118,105,
321,130,603,100,475,
325,12,55,8,118,
327,75,1882,55,132,
329,65,4046,64,3666,
331,34,2721,35,5024,
333,30,3179,31,2091,
335,117,1781,94,1130,
339,6,230,5,430,
341,66,6,71,16,
345,87,411,83,113,
347,21,67,15,160,
349,57,26,49,108,
351,,0,27,153,
353,37,143,42,22,
355,3,38,3,11,
359,30,5797,29,2279,
361,90,8095,89,8406,
363,6,16147,7,40496,
365,125,8276,96,1204,
371,218,6538,218,21792,
373,273,15450,273,22015,
377,104,11117,103,29332,
379,192,30295,185,21598,
383,862,91145,853,28914,
385,1191,65227,1167,97673,
389,1321,1010,1278,4909,
391,1596,10347,1564,33727,
395,970,1200,839,3879,
397,1133,3140,1129,2775,
401,7,1892,8,9438,
403,,0,54,1,
405,878,24,889,22,
407,75,33,80,492,
411,92,11,92,47,
413,856,1,856,15,
426,54,6,10,1,
428,45,8,,0,
434,100,60479,98,112,
436,75,358,74,963,
438,83,587,79,718,
440,54,73362,53,24935,
442,42,24390,42,112269,
444,286,90767,281,220502,
447,99,48819,99,55071,
449,1121,56595,1095,62010,
451,11291,4166,11152,34831,
453,157,655605,154,391432,
464,,0,420,378,
526,102,1796,100,246,
530,665,52,477,7,
532,115,12414,113,4218,
534,679,110,618,1534,
536,1878,64371,1850,59281,
538,309,2,,0,
540,453,2,,0,
542,280,163,262,294,
544,933,171,591,129,
546,,0,180,1,
548,302,2,,0,
554,5,1467439,5,1179492,
555,5,1701215,4,358411,
556,5,1295802,4,465426,
557,5,1147642,4,366969,
558,3,275543,2,272664,
559,5,45264,5,9339,
560,243,1038530,237,1031856,
561,210,434326,206,260041,
562,55,1074992,53,1643731,
563,169,252695,167,260211,
564,142,245695,139,144228,
565,339,866888,335,802161,
566,155,107207,151,313828,
567,113,35625,104,46699,
569,1348,2571,1285,4601,
571,1480,92,1478,1509,
573,1415,82994,1389,9946,
575,1270,3559,1227,5784,
577,2181,8,1551,21,
579,280,22,323,217,
581,1103,52,680,29,
590,59,171,55,4,
592,56,569,55,1069,
596,49,8,37,1,
628,694,3,,0,
630,1381,6,1585,3,
632,,0,852,1,
636,2718,1,1137,129,
638,847,8,,0,
640,400,3,,0,
642,372,2,,0,
644,50,1,,0,
654,,0,1000,1,
658,1290,7,226,1,
660,,0,400,3,
662,1989,4,1327,2,
751,35000,1,10002,15,
753,71,15,48,1,
805,221,1034,193,2366,
806,24,10512,22,2017,
807,21,17294,17,33706,
808,4,27209,2,40748,
809,4,406220,2,225133,
810,34,489760,33,145436,
811,403,38862,399,68019,
816,37,16,37,404,
817,422,81,372,1856,
819,51,2310,60,1320,
820,31,30026,27,16100,
821,60,44908,56,33801,
822,82,124440,80,46040,
823,197,245895,195,118580,
824,1073,16710,1061,32454,
827,1,5,3,6995,
829,68,1227,63,1358,
830,174,3401,170,26465,
837,1999,3,875,4,
839,17,13,3,3,
841,50,4,43,34,
843,34,16,20,15,
845,51,19,50,1,
847,141,2,136,832,
849,34,42,30,19,
